Evaluation Category,Test Cases,Passing Tests baseline,Passing Tests #1-chosen-fields,Passing Tests #2-better-rag,Passing Tests #4-system-prompt
Single-Turn: Building Location,85,19,30,40,49
Single-Turn: Closed Until,100,24,35,31,58
Single-Turn: Navigation Link,50,0,0,0,37
Single-Turn: Open Now,100,20,44,45,61
Single-Turn: Open Until,100,21,35,33,53
Single-Turn: Open Website,100,17,20,34,83
Single-Turn: Opening Hours,100,53,62,81,85
Single-Turn: Wheelchair Accessible,100,49,60,68,83
Asr Whisper Base,248,79,109,114,186
Asr Whisper Small,248,66,0,0,0
Multi-Turn,597,185,225,272,436
